Timestamp,Username,VideoID,Comment,Date,Cleaning,Normalisasi
2024-07-22T03:39:02Z,@coolinspirefunnybook1289,FE4iq7BzZAA,"amerika biar bisa salah langkah bisa bangkit lagi karena sistemnya bagus.self correct.<br>kalo indonesia da sistem bobrok2x bobrok terus.presiden satu bisa ganti presiden lain,tapi budaya korup jalan terus krn sistem birokrasi da bobrok akut.<br>kapan indonesia bisa self correct dari budaya korupsi ?",2024-07-22T03:39:02Z,amerika biar bisa salah langkah bisa bangkit lagi karena sistemnya bagus self correct kalo indonesia da sistem bobrok2x bobrok terus presiden satu bisa ganti presiden laintapi budaya korup jalan terus krn sistem birokrasi da bobrok akut kapan indonesia bisa self correct dari budaya korupsi,amerika biar bisa salah langkah bisa bangkit lagi karena sistemnya bagus self correct kalau indonesia dah sistem bobrok2x bobrok terus presiden satu bisa ganti presiden laintapi budaya korup jalan terus karena sistem birokrasi dah bobrok akut kapan indonesia bisa self correct dari budaya korupsi
2024-07-22T03:36:10Z,@fuadibontot6012,FE4iq7BzZAA,Obama masih bisa nyalon engga si?,2024-07-22T03:36:10Z,obama masih bisa nyalon engga si,obama masih bisa nyalon tidak sih
2024-07-22T03:31:37Z,@Rangga-sx5bx,FE4iq7BzZAA,Menang trump,2024-07-22T03:31:37Z,menang trump,menang trump
2024-07-22T03:30:42Z,@gymtube6276,FE4iq7BzZAA,Dan ahirnya Zelenski mendadak menggelar KTT perdamain di Kyiv dan sekarang russia di undang 🤣,2024-07-22T03:30:42Z,dan ahirnya zelenski mendadak menggelar ktt perdamain di kyiv dan sekarang russia di undang,dan ahirnya zelenski mendadak menggelar ktt perdamain di kyiv dan sekarang russia di undang
2024-07-22T03:29:49Z,@Maniesjengger,FE4iq7BzZAA,Embuktikan presiden di amerika tidak punya power.. Beda sama konoha wkwkw,2024-07-22T03:29:49Z,embuktikan presiden di amerika tidak punya power beda sama konoha wkwkw,embuktikan presiden di amerika tidak punya power beda sama konoha wkwkw
2024-07-22T03:22:40Z,@alura3787,FE4iq7BzZAA,"Yes akhirnya dai nyerah juga ya saatnya jagoan ku yg menang yaitu Donald Trump , semangat buat partai Republik saatnya kemenangan berpihak padamu ,mari saatnya kita kalahkan partai Demokrat",2024-07-22T03:22:40Z,yes akhirnya dai nyerah juga ya saatnya jagoan ku yg menang yaitu donald trump semangat buat partai republik saatnya kemenangan berpihak padamu mari saatnya kita kalahkan partai demokrat,yes akhirnya dai nyerah juga ya saatnya jagoan ku yang menang yaitu donald trump semangat buat partai republik saatnya kemenangan berpihak padamu mari saatnya kita kalahkan partai demokrat
2024-07-22T03:19:56Z,@Musafir_homeless,FE4iq7BzZAA,"Dah tua, suka tidur ketika rapat, sering jatuh dari tangga dan parahnya suka asal ngomong karena mulai pikun.😮.",2024-07-22T03:19:56Z,dah tua suka tidur ketika rapat sering jatuh dari tangga dan parahnya suka asal ngomong karena mulai pikun,sudah tua suka tidur ketika rapat sering jatuh dari tangga dan parahnya suka asal mengomong karena mulai pikun
2024-07-22T03:11:21Z,@Imman-u7d,FE4iq7BzZAA,Sdh diramalkan Donald Trump akan jadi Presiden USA 🙏,2024-07-22T03:11:21Z,sdh diramalkan donald trump akan jadi presiden usa,sudah diramalkan donald trump akan jadi presiden usah
2024-07-22T03:08:05Z,@HealingFamily-op1dj,FE4iq7BzZAA,Bekeng kacau dunia..,2024-07-22T03:08:05Z,bekeng kacau dunia,bekeng kacau dunia
2024-07-22T03:07:24Z,@indrasetyawan5682,FE4iq7BzZAA,"semoga trump bisa jadi, 5th biden benar-benar sudah mengacaukan dunia sampai Indonesia yang cuma anak manis duduk di pojokan kena banyak getahnya",2024-07-22T03:07:24Z,semoga trump bisa jadi 5th biden benarbenar sudah mengacaukan dunia sampai indonesia yang cuma anak manis duduk di pojokan kena banyak getahnya,semoga trump bisa jadi 5th biden benarbenar sudah mengacaukan dunia sampai indonesia yang cuma anak manis duduk di pojokan kena banyak getahnya
2024-07-22T03:07:14Z,@faozanzan4576,FE4iq7BzZAA,Joe Biden mundur luar biasa ngasih kesempatan sama yg muda2,2024-07-22T03:07:14Z,joe biden mundur luar biasa ngasih kesempatan sama yg muda2,joe biden mundur luar biasa mengasih kesempatan sama yang muda2
2024-07-22T03:06:00Z,@sandrosihombing9332,FE4iq7BzZAA,"Moga aja Trum,,,,kalah dlm pilpres AS jika Trum menang geo politik dunia akan semakin panas,<br>Karna tram anti muslim.",2024-07-22T03:06:00Z,moga aja trumkalah dlm pilpres as jika trum menang geo politik dunia akan semakin panaskarna tram anti muslim,moga saja trumkalah dalam pilpres as jika trum menang geo politik dunia akan semakin panaskarna tram anti muslim
2024-07-22T03:04:48Z,@abdurrahmanjoenoes7384,FE4iq7BzZAA,Baguslah😅,2024-07-22T03:04:48Z,baguslah,baguslah
2024-07-22T03:03:57Z,@YulianusEden-ip1eb,FE4iq7BzZAA,"Klu diindonesia diturunkn sampe ke anak cucu ,,,utk jadi pejabat,,,😅",2024-07-22T03:03:57Z,klu diindonesia diturunkn sampe ke anak cucu utk jadi pejabat,kalau diindonesia diturunkn sampai ke anak cucu untuk jadi pejabat
2024-07-22T03:02:05Z,@arismustofa4029,FE4iq7BzZAA,"setelah gagal &quot;head shot&quot; Trump, dia sadar gak bakaL menang lawan Trump",2024-07-22T03:02:05Z,setelah gagal head shot trump dia sadar gak bakal menang lawan trump,setelah gagal head shot trump dia sadar tidak bakal menang lawan trump
2024-07-22T03:00:54Z,@Faqih3092,FE4iq7BzZAA,Kakek pelindung zionis,2024-07-22T03:00:54Z,kakek pelindung zionis,kakek pelindung zionis
2024-07-22T02:53:44Z,@natashaabreyaa,FE4iq7BzZAA,ok,2024-07-22T02:53:44Z,ok,ok
2024-07-22T02:52:30Z,@sopian5758,FE4iq7BzZAA,Amin amin amin ya tuhan Allah amin amin kau harus bertanggung  jawab di hadapan tuhan Allah amin amin amin,2024-07-22T02:52:30Z,amin amin amin ya tuhan allah amin amin kau harus bertanggung jawab di hadapan tuhan allah amin amin amin,amin amin amin ya tuhan allah amin amin kau harus bertanggung jawab di hadapan tuhan allah amin amin amin
2024-07-22T02:52:00Z,@Billy-t1k,FE4iq7BzZAA,Alhamdulillah....😂😂😂😂.... kekuasaan mu sudah berakhir....,2024-07-22T02:52:00Z,alhamdulillah kekuasaan mu sudah berakhir,alhamdulillah kekuasaan mu sudah berakhir
